S32,small,"(11.126439052153948, 98.33888783652675)","(19.12643905215395, 106.33888783652675)"
S33,small,"(117.73777376933064, 89.5848799106201)","(125.73777376933064, 97.5848799106201)"
S34,small,"(80.4767253425914, 147.55851487753245)","(88.4767253425914, 155.55851487753245)"
S35,small,"(119.70159182126706, 0.4362508855234366)","(127.70159182126706, 8.436250885523437)"
M0,medium,"(84.73207285491513, 41.96489511316163)","(95.73207285491513, 48.96489511316163)"
M1,medium,"(29.16808057056864, 136.70619116537546)","(40.16808057056864, 143.70619116537546)"
M2,medium,"(13.929221166721216, 113.97649666416659)","(24.929221166721216, 120.97649666416659)"
M3,medium,"(9.927806819138123, 1.26914035992026)","(20.927806819138123, 8.26914035992026)"
M4,medium,"(44.76989837056489, 136.62478294827295)","(55.76989837056489, 143.62478294827295)"
M5,medium,"(60.63592303642571, 7.531122620114175)","(71.63592303642571, 14.531122620114175)"
M6,medium,"(132.54977651884192, 92.07823674116814)","(143.54977651884192, 99.07823674116814)"
M7,medium,"(127.43667980376755, 77.46892482295398)","(138.43667980376756, 84.46892482295398)"
M8,medium,"(90.52899589189248, 6.402699499179579)","(101.52899589189248, 13.40269949917958)"
M9,medium,"(3.7180807417844512, 53.021869755062546)","(14.718080741784451, 60.021869755062546)"
M10,medium,"(32.40403071585404, 105.84095538463094)","(43.40403071585404, 112.84095538463094)"
M11,medium,"(1.804292454702972, 149.35409318353206)","(12.804292454702972, 156.35409318353206)"
M12,medium,"(99.45019765533033, 35.342083413751986)","(110.45019765533033, 42.342083413751986)"
M13,medium,"(29.836347589997306, 3.2358292884552275)","(40.8363475899973, 10.235829288455228)"
M14,medium,"(29.87106473249495, 116.81909349431268)","(40.87106473249495, 123.81909349431268)"
L0,large,"(121.74090518997569, 40.34197874613043)","(133.7409051899757, 50.34197874613043)"
L1,large,"(147.99014211589454, 108.48870042367386)","(159.99014211589454, 118.48870042367386)"
L2,large,"(30.29171443364492, 30.27839845860679)","(42.29171443364492, 40.27839845860679)"
L3,large,"(62.877926124217005, 134.00953355586608)","(74.877926124217, 144.00953355586608)"
L4,large,"(41.404201572822444, 149.922390683452)","(53.404201572822444, 159.922390683452)"
L5,large,"(121.83017041663388, 22.699433627369675)","(133.83017041663388, 32.69943362736967)"
L6,large,"(18.95470571771897, 162.75913517875404)","(30.95470571771897, 172.75913517875404)"
L7,large,"(135.11768472877395, 4.553824185129209)","(147.11768472877395, 14.553824185129209)"
L8,large,"(144, 8)","(156, 18)"
60,3,24000060.0,1
S0,small,"(15, 43)","(23, 51)"
S1,small,"(0, 72)","(8, 80)"
S2,small,"(28, 154)","(36, 162)"
S3,small,"(130, 152)","(138, 160)"
S4,small,"(81, 131)","(89, 139)"
S5,small,"(69, 10)","(77, 18)"
S6,small,"(98, 17)","(106, 25)"
S7,small,"(13, 159)","(21, 167)"
S8,small,"(122, 45)","(130, 53)"
S9,small,"(124, 117)","(132, 125)"
S10,small,"(48, 155)","(56, 163)"
S11,small,"(8, 1)","(16, 9)"
S12,small,"(128, 87)","(136, 95)"
S13,small,"(30, 141)","(38, 149)"
S14,small,"(60, 41)","(68, 49)"
S15,small,"(108, 31)","(116, 39)"
S16,small,"(144, 147)","(152, 155)"
S17,small,"(1, 95)","(9, 103)"
S18,small,"(146, 73)","(154, 81)"
S19,small,"(57, 29)","(65, 37)"
S20,small,"(69, 159)","(77, 167)"
S21,small,"(135, 1)","(143, 9)"
S22,small,"(1, 125)","(9, 133)"
S23,small,"(98, 133)","(106, 141)"
S24,small,"(57, 13)","(65, 21)"
S25,small,"(35, 53)","(43, 61)"
S26,small,"(1, 59)","(9, 67)"
S27,small,"(151, 113)","(159, 121)"
S28,small,"(41, 131)","(49, 139)"
S29,small,"(22, 7)","(30, 15)"
S30,small,"(42, 143)","(50, 151)"
S31,small,"(129, 101)","(137, 109)"
S32,small,"(34, 64)","(42, 72)"
S33,small,"(126, 129)","(134, 137)"
S34,small,"(109, 15)","(117, 23)"
S35,small,"(99, 41)","(107, 49)"
M0,medium,"(127, 70)","(138, 77)"
M1,medium,"(136, 114)","(147, 121)"
M2,medium,"(129, 58)","(140, 65)"
M3,medium,"(64, 148)","(75, 155)"
M4,medium,"(61, 131)","(72, 138)"
M5,medium,"(110, 147)","(121, 154)"
M6,medium,"(0, 48)","(11, 55)"
M7,medium,"(121, 25)","(132, 32)"
M8,medium,"(82, 30)","(93, 37)"
M9,medium,"(36, 35)","(47, 42)"
M10,medium,"(148, 22)","(159, 29)"
M11,medium,"(126, 13)","(137, 20)"
M12,medium,"(92, 0)","(103, 7)"
